test,axis,source,df,sum_sq,f_value,p_value,eta_sq,p_value_fdr_bh,significant_fdr_bh
8val,dipl,C(model_name),6.0,1849.3014285714291,47.975848593535765,6.69736127763915e-20,0.8326756784415895,1.5069062874688086e-19,True
8val,dipl,C(prompt_varient),9.0,24.694428571428663,0.42709322484074236,0.9147598197792767,0.011119036489538683,0.9147598197792767,False
8val,econ,C(model_name),6.0,11927.334857142867,576.7676295040889,4.280789934042341e-47,0.9809655908682219,7.705421881276213e-46,True
8val,econ,C(prompt_varient),9.0,45.31842857142896,1.4609691621840786,0.18632699556690718,0.0037272215120352785,0.3048987200185754,False
8val,govt,C(model_name),6.0,1253.2677142857137,78.69726678135642,6.636582584111692e-25,0.8805330448031443,1.7065498073430064e-24,True
8val,govt,C(prompt_varient),9.0,26.711428571428513,1.1182055764756982,0.36621210491920364,0.018767175810035758,0.41198861803410414,False
8val,scty,C(model_name),6.0,1356.6800000000003,140.74370965617197,3.8619463586269716e-31,0.9205051012896218,1.3903006891057097e-30,True
8val,scty,C(prompt_varient),9.0,30.40871428571448,2.1030924779344122,0.0451624188040461,0.02063226156769376,0.08129235384728298,False
pct,econ,C(model_name),6.0,612.4066342857144,343.04602456739616,3.9193000001279877e-41,0.9692865633228487,3.527370000115189e-40,True
pct,econ,C(prompt_varient),9.0,3.33828714285719,1.246651129176948,0.2872653232332853,0.0052836737731604575,0.3808225942799689,False
pct,soc,C(model_name),6.0,85.46649714285712,200.9436398323302,4.361467907731141e-35,0.948487378151459,2.6168807446386846e-34,True
pct,soc,C(prompt_varient),9.0,0.8137785714285667,1.275537851103461,0.27148295648047577,0.009031125989871333,0.3808225942799689,False
sap,auth,C(model_name),6.0,51.82101714285714,9.57101035140215,3.6972327402195655e-07,0.48499764364815035,7.394465480439131e-07,True
sap,auth,C(prompt_varient),9.0,6.297605714285692,0.7754183251468107,0.6394571668115916,0.05893986842507754,0.677072294271097,False
sap,prog,C(model_name),6.0,200.65874857142848,98.48891352204389,2.838810166215598e-27,0.9007978204843334,8.516430498646794e-27,True
sap,prog,C(prompt_varient),9.0,3.7615842857142634,1.2308603605512656,0.29619535110664247,0.01688651479321545,0.3808225942799689,False
sap,right,C(model_name),6.0,374.1509085714283,185.36532674270788,3.47289669573986e-34,0.9450434151143695,1.5628035130829373e-33,True
sap,right,C(prompt_varient),9.0,3.591727142857107,1.1862979351449885,0.3225641898248263,0.009072109695536531,0.3870770277897916,False
