,,eta_sq,eta_sq,p_value,p_value,p_value_fdr_bh,p_value_fdr_bh
source,,C(model_name),C(prompt_varient),C(model_name),C(prompt_varient),C(model_name),C(prompt_varient)
test,axis,,,,,,
8val,dipl,0.8326756784415895,0.011119036489538683,6.69736127763915e-20,0.9147598197792767,1.5069062874688086e-19,0.9147598197792767
8val,econ,0.9809655908682219,0.0037272215120352785,4.280789934042341e-47,0.18632699556690718,7.705421881276213e-46,0.3048987200185754
8val,govt,0.8805330448031443,0.018767175810035758,6.636582584111692e-25,0.36621210491920364,1.7065498073430064e-24,0.41198861803410414
8val,scty,0.9205051012896218,0.02063226156769376,3.8619463586269716e-31,0.0451624188040461,1.3903006891057097e-30,0.08129235384728298
pct,econ,0.9692865633228487,0.0052836737731604575,3.9193000001279877e-41,0.2872653232332853,3.527370000115189e-40,0.3808225942799689
pct,soc,0.948487378151459,0.009031125989871333,4.361467907731141e-35,0.27148295648047577,2.6168807446386846e-34,0.3808225942799689
sap,auth,0.48499764364815035,0.05893986842507754,3.6972327402195655e-07,0.6394571668115916,7.394465480439131e-07,0.677072294271097
sap,prog,0.9007978204843334,0.01688651479321545,2.838810166215598e-27,0.29619535110664247,8.516430498646794e-27,0.3808225942799689
sap,right,0.9450434151143695,0.009072109695536531,3.47289669573986e-34,0.3225641898248263,1.5628035130829373e-33,0.3870770277897916
